date,eventName,eventTitle,eventUrl,location
01/13/2022,Hardcore FC,Hardcore MMA 19,https://www.sherdog.com/events/Hardcore-FC-Hardcore-MMA-19-91807,-Hardcore Platform; Moscow; Russia-
01/12/2022,Invicta FC 45,Zappitella vs. Delboni 2,https://www.sherdog.com/events/Invicta-FC-45-Zappitella-vs-Delboni-2-91513,-Police Athletic League; Kansas City; Kansas; United States-
01/12/2022,Asian Mixed Martial Arts Association,AMA 4 Super Fight,https://www.sherdog.com/events/Asian-Mixed-Martial-Arts-Association-AMA-4-Super-Fight-91803,-Majmoeh Montazeri; Shahriyar; Tehran; Iran-
01/08/2022,Revolta 1,Fight Night,https://www.sherdog.com/events/Revolta-1-Fight-Night-91860,-Sports Hall; Tczew; Poland-
01/08/2022,SSP,Spar Star Promotions: Fight Night 49,https://www.sherdog.com/events/SSP-Spar-Star-Promotions-Fight-Night-49-91582,-Commerce Casino; Commerce; California; United States-
01/08/2022,209,Beatdown 13,https://www.sherdog.com/events/209-Beatdown-13-91537,-Stockton Civic Auditorium; Stockton; California; United States-
01/08/2022,Reality Fighting,Mohegan Sun,https://www.sherdog.com/events/Reality-Fighting-Mohegan-Sun-91473,-Mohegan Sun Arena; Uncasville; Connecticut; United States-
01/08/2022,MMAX FC 20,Breaking Point,https://www.sherdog.com/events/MMAX-FC-20-Breaking-Point-91434,-1022 Dodson Avenue; Fort Smith; Arkansas; United States-
01/08/2022,SSP,Spar Star Promotions: Fight Night 50,https://www.sherdog.com/events/SSP-Spar-Star-Promotions-Fight-Night-50-90499,-Commerce Casino; Commerce; California; United States-
01/08/2022,AOCSC 15,Art of Combat Sports Championships 15,https://www.sherdog.com/events/AOCSC-15-Art-of-Combat-Sports-Championships-15-80443,-Majed J. Nesheiwat Convention Center 14 Civic Center Plaza; Poughkeepsie; New York; United States-
01/07/2022,TFC 5,Thailand Fighting Championship 5,https://www.sherdog.com/events/TFC-5-Thailand-Fighting-Championship-5-91820,-Rawai Boxing Stadium; Phuket; Thailand-
01/07/2022,Asian Mixed Martial Arts Association,AMA 3 Super Fight,https://www.sherdog.com/events/Asian-Mixed-Martial-Arts-Association-AMA-3-Super-Fight-91801,-Saloln Shabe Shik; Shariyar Vahidiye; Tehran; Iran-
01/07/2022,AFS 3,Aries Fight Series 3,https://www.sherdog.com/events/AFS-3-Aries-Fight-Series-3-91713,-Cotton Eyed Joe; Knoxville; Tennessee; United States-
01/07/2022,The AKO Show,Face Off Fight Night,https://www.sherdog.com/events/The-AKO-Show-Face-Off-Fight-Night-91709,-Lagos Continental Hotel; Lagos; Nigeria-
01/07/2022,TBC,The Beast Championship 3: Road to Brave ,https://www.sherdog.com/events/TBC-The-Beast-Championship-3-Road-to-Brave-91407,-Inter-Burgo Exco; Daegu; South Korea-
01/01/2022,UWMMAA,Battle of War 3,https://www.sherdog.com/events/UWMMAA-Battle-of-War-3-91818,-Ladwa; Kurukshetra; Haryana; India-
12/31/2021,PFC 4,Peace Fighting Championship 4,https://www.sherdog.com/events/PFC-4-Peace-Fighting-Championship-4-91824,-Amoo Hall; Herat; Afghanistan-
12/31/2021,Rizin FF,Rizin 33,https://www.sherdog.com/events/Rizin-FF-Rizin-33-91339,-Saitama Super Arena; Saitama; Japan-
12/30/2021,Hardcore FC,Hardcore MMA 18,https://www.sherdog.com/events/Hardcore-FC-Hardcore-MMA-18-91698,-Hardcore Platform; Moscow; Russia-
12/30/2021,OTF,Orereta Top Fighters: Grand Prix,https://www.sherdog.com/events/OTF-Orereta-Top-Fighters-Grand-Prix-91536,-Basque Country; Spain-
12/30/2021,Double G FC 11,Double G Fighting Championship,https://www.sherdog.com/events/Double-G-FC-11-Double-G-Fighting-Championship-91240,-KBS Area; Seoul; South Korea-
12/30/2021,Oktagon MMA,Oktagon 30,https://www.sherdog.com/events/Oktagon-MMA-Oktagon-30-90784,-O2 Arena; Praha; Czech Republic-
12/29/2021,NFC 36,Naiza Fighter Championship 36,https://www.sherdog.com/events/NFC-36-Naiza-Fighter-Championship-36-91336,-Almaty Arena; Almaty; Kazakhstan-
12/28/2021,JF,Jungle Fight 104,https://www.sherdog.com/events/JF-Jungle-Fight-104-91666,-Sao Paulo; Sao Paulo; Brazil-
12/25/2021,Iron Road Promotions,Fight Road 10,https://www.sherdog.com/events/Iron-Road-Promotions-Fight-Road-10-91695,-Udarnik Arena; Moscow; Russia-
12/25/2021,Colosseum MMA,Battle of the Champions 24,https://www.sherdog.com/events/Colosseum-MMA-Battle-of-the-Champions-24-91523,-Moscow; Russia-
12/25/2021,ACA YE 23,ACA Young Eagles 23: Grand Prix Finals,https://www.sherdog.com/events/ACA-YE-23-ACA-Young-Eagles-23-Grand-Prix-Finals-91472,-Grozny Sport Hall Colesseum; Grozny; Chechnya; Russia-
12/25/2021,ATFC 6,Amir Temur Fighting Championship 6,https://www.sherdog.com/events/ATFC-6-Amir-Temur-Fighting-Championship-6-91471,-Javokhir Banquet Hall; Samarkand; Uzbekistan-
12/25/2021,JCK Night Cage Series,2021 Division Finals Part 2,https://www.sherdog.com/events/JCK-Night-Cage-Series-2021-Division-Finals-Part-2-91444,-Haikou; Hainan; China-
12/24/2021,SBC 37,Serbian Battle Championship 37: Revenge!,https://www.sherdog.com/events/SBC-37-Serbian-Battle-Championship-37-Revenge-91755,-Spens Small Hall; Novi Sad; Serbia-
12/23/2021,GITC,Gladiators in the Cage 16,https://www.sherdog.com/events/GITC-Gladiators-in-the-Cage-16-91804,-Kharkiv; Ukraine-
12/23/2021,EWFC 1,Eagle Warriors Fighting Championship,https://www.sherdog.com/events/EWFC-1-Eagle-Warriors-Fighting-Championship-91756,-University Gymnasium; Farah; Afghanistan-
12/23/2021,SFC 2,Sparta Fight Championship,https://www.sherdog.com/events/SFC-2-Sparta-Fight-Championship-91637,-I.E.P. Alfonso Ugarte; Santa Anita; Lima; Peru-
12/23/2021,Hardcore FC,Hardcore MMA 17,https://www.sherdog.com/events/Hardcore-FC-Hardcore-MMA-17-91635,-Hardcore Platform; Moscow; Russia-
12/23/2021,AFC 18,Angel's Fighting Championship 18,https://www.sherdog.com/events/AFC-18-Angels-Fighting-Championship-18-91521,-Shindorim Techno Mart; Seoul; South Korea-
12/22/2021,BBS Combat MMA,3,https://www.sherdog.com/events/BBS-Combat-MMA-3-91670,-Ginassyum Geraldo d Angelo; Manacapuru; Amazonas; Brazil-
12/22/2021,UFL 4,Universal Fighters League 4,https://www.sherdog.com/events/UFL-4-Universal-Fighters-League-4-91581,-Moscow; Russia-
12/22/2021,Maraa Combat,1,https://www.sherdog.com/events/Maraa-Combat-1-91154,-Maraa; Amazonas; Brazil-
12/21/2021,MFP 235,Modern Fighting Pankration 235,https://www.sherdog.com/events/MFP-235-Modern-Fighting-Pankration-235-91676,-Khabarovsk; Russia-
12/21/2021,Awka Championship 1,Amateur,https://www.sherdog.com/events/Awka-Championship-1-Amateur-91553,-Polideportivo; Quito; Ecuador-
12/20/2021,AMC,Fight Nights 107,https://www.sherdog.com/events/AMC-Fight-Nights-107-91520,-Minsk Arena; Minsk; Belarus-
12/20/2021,AOC 6,Art of Combat 6: Xmas Battle Ground,https://www.sherdog.com/events/AOC-6-Art-of-Combat-6-Xmas-Battle-Ground-91492,-Artjuna Cafe; Anjuna; Goa; India-
12/19/2021,SCIC 4,SC in Combat 4,https://www.sherdog.com/events/SCIC-4-SC-in-Combat-4-91775,-Ginásio Sebastião João de Souza; Penha; Santa Catarina; Brazil-
12/19/2021,ZFN 5,Zaruba Fight Night 5,https://www.sherdog.com/events/ZFN-5-Zaruba-Fight-Night-5-91812,-Odessa State Circus; Odessa; Odessa; Ukraine-
12/19/2021,TF 33,Thunder Fight 33,https://www.sherdog.com/events/TF-33-Thunder-Fight-33-91776,-Sao Bernardo do Campo; Sao Paulo; Brazil-
12/19/2021,DFS 7,Dagestan Fighting Selection 7,https://www.sherdog.com/events/DFS-7-Dagestan-Fighting-Selection-7-91746,-Makhachkala; Dagestan; Russia-
12/19/2021,Guara Fight,Guara Fight 6,https://www.sherdog.com/events/Guara-Fight-Guara-Fight-6-91739,-Sao Cristovao; Sergipe; Brazil-
12/19/2021,APM,Arena Pride MMA,https://www.sherdog.com/events/APM-Arena-Pride-MMA-91661,-Santos; Sao Paulo; Brazil-
12/19/2021,JFL 22,Junior Fighting League 22,https://www.sherdog.com/events/JFL-22-Junior-Fighting-League-22-91654,-Russia-
12/19/2021,WOW,Way of Warriors FC: Talent 2,https://www.sherdog.com/events/WOW-Way-of-Warriors-FC-Talent-2-91519,-Polideportivo San Agustín; Madrid; Spain-
12/19/2021,FCC,Full Contact Contender 27,https://www.sherdog.com/events/FCC-Full-Contact-Contender-27-91518,-University of Bolton Stadium; Bolton; England-
12/19/2021,PFN,Procrunch Fight Night,https://www.sherdog.com/events/PFN-Procrunch-Fight-Night-91495,-Agrasan Bhavan; Nagpur; Maharashtra; India-
12/19/2021,OFC 15,Open Fighting Championship 15,https://www.sherdog.com/events/OFC-15-Open-Fighting-Championship-15-91470,-VTB Arena; Moscow; Russia-
12/19/2021,DSTV Liga MMA,SFL 7,https://www.sherdog.com/events/DSTV-Liga-MMA-SFL-7-91468,-Studio 123; Luanda; Angola-
12/19/2021,RBM,New People,https://www.sherdog.com/events/RBM-New-People-91425,-Tyumen; Russia-
12/19/2021,UWMMAF,Knockout Combat League 2,https://www.sherdog.com/events/UWMMAF-Knockout-Combat-League-2-91396,-Janakpuri New Delhi; New Delhi; Delhi; India-
12/19/2021,Shooto,Professional Shooto 2021 Vol. 8,https://www.sherdog.com/events/Shooto-Professional-Shooto-2021-Vol-8-91365,-Mielparque Hall Osaka; Osaka; Japan-
12/19/2021,Grachan,Grachan 52,https://www.sherdog.com/events/Grachan-Grachan-52-91238,-Makuhari Bay Park Arena; Chiba; Japan-
12/19/2021,Fury FC 55,Fury Fighting Championship 55,https://www.sherdog.com/events/Fury-FC-55-Fury-Fighting-Championship-55-91125,-Houston; Texas; United States-
12/18/2021,MMA Quest 3,Papanikolaou vs Tranakidis,https://www.sherdog.com/events/MMA-Quest-3-Papanikolaou-vs-Tranakidis-90987,-Peiraias; Greece-
12/18/2021,NC,Nacao Cyborg 11,https://www.sherdog.com/events/NC-Nacao-Cyborg-11-91515,-Mondri Eventos; Sao Jose dos Pinhais; PR; Brazil-
12/18/2021,Shooto Brazil ,Shooto Brazil 110,https://www.sherdog.com/events/Shooto-Brazil-Shooto-Brazil-110-91783,-Upper Arena; Rio de Janeiro; Brazil-
12/18/2021,IFL 8,Inside Fighters League 8,https://www.sherdog.com/events/IFL-8-Inside-Fighters-League-8-91779,-Ginasio IAC Rio Grande; Rio Grande; Rio Grande do Sul; Brazil-
12/18/2021,IFL 7,Inside Fighters League 7,https://www.sherdog.com/events/IFL-7-Inside-Fighters-League-7-91778,-Ginasio IAC Rio Grande; Rio Grande; Rio Grande do Sul; Brazil-
12/18/2021,Serbian MMA Federation,MMA League Finals,https://www.sherdog.com/events/Serbian-MMA-Federation-MMA-League-Finals-91762,-Bel Expo Center; Belgrade; Serbia-
12/18/2021,HOF,Hall of Fame: Alexander Nevsky Cup,https://www.sherdog.com/events/HOF-Hall-of-Fame-Alexander-Nevsky-Cup-91753,-Lokomotiv Arena; Novosibirsk; Russia-
12/18/2021,CTF,Copa Team Force 5,https://www.sherdog.com/events/CTF-Copa-Team-Force-5-91704,-Asuncion; Paraguay-
12/18/2021,Invictos Reality MMA,"Season 2, Finals",https://www.sherdog.com/events/Invictos-Reality-MMA-Season-2-Finals-91702,-Coliseo 24 de Septiembre; Santa Cruz de la Sierra; Bolivia-
12/18/2021,SFT,Standout Fighting Tournament 31: Nogueira vs. Marajo,https://www.sherdog.com/events/SFT-Standout-Fighting-Tournament-31-Nogueira-vs-Marajo-91693,-Sao Paulo; Sao Paulo; Brazil-
12/18/2021,LITC,Lugano in the Cage 4,https://www.sherdog.com/events/LITC-Lugano-in-the-Cage-4-91660,-Lugano Expo; Lugano; Switzerland-
12/18/2021,BC,Benevides Combat,https://www.sherdog.com/events/BC-Benevides-Combat-91655,-Cova dos Leões academy; Benevides; Para; Brazil-
12/18/2021,IFC,Ipira Fight Combat,https://www.sherdog.com/events/IFC-Ipira-Fight-Combat-91644,"-Ginasio de Esportes de Ipira

Ipira; Bahia; Brazil-"
12/18/2021,AFC,Ascendancy Fighting Championship 52,https://www.sherdog.com/events/AFC-Ascendancy-Fighting-Championship-52-91625,-Carl Craft Civic Center; Hedrick; Iowa; United States-
12/18/2021,LFC,Arena Fights Lions 3,https://www.sherdog.com/events/LFC-Arena-Fights-Lions-3-91589,-CT Atraidos por Deus; Manaus; Amazonas; Brazil-
12/18/2021,CTE MMA Championship,CTE MMA Championship 1,https://www.sherdog.com/events/CTE-MMA-Championship-CTE-MMA-Championship-1-91527,-Vitória da Conquista; Bahia; Brazil-
12/18/2021,Ac,Arantes Combat 3,https://www.sherdog.com/events/Ac-Arantes-Combat-3-91508,-Gymnasium Emelino Vieira; Avaraes; Amazonas; Brazil-
12/18/2021,FCFF,Rumble at the Roseland 107,https://www.sherdog.com/events/FCFF-Rumble-at-the-Roseland-107-91501,-Roseland Theater; Portland; Oregon; United States-
12/18/2021,FFIT,Fight For It 12,https://www.sherdog.com/events/FFIT-Fight-For-It-12-91500,-Gaffney; South Carolina; United States-
12/18/2021,ProFC 69,Professional Fighting Championship 69,https://www.sherdog.com/events/ProFC-69-Professional-Fighting-Championship-69-91499,-CSC Express Arena; Rostov-On-Don; Russia-
