date,eventName,eventTitle,location
09/28/2021,Dana White's Contender Series,Contender Series 2021: Week 5,"""UFC Apex; Las Vegas; Nevada; United States"""
09/26/2021,Fight Clubbing,Borgo Fight 6,"""Monteodorisio; Italy"""
09/26/2021,Cage Survivor,Submissionism 10,"""Greece"""
09/26/2021,Shamrock FC,Shamrock FC Mixed Martial Arts,"""Ameristar Casino; St. Charles; Missouri; United States"""
09/26/2021,Olympus FC,Olympus Fighting Championships: Revival,"""Rainton Meadows Arena; Houghton le Spring; England"""
09/25/2021,Punho de aco 7,P.A 7 edition,"""Stadium Ap. Tabuado Gym; Aparecida do Taboado; Mato grosso do sul"""
09/25/2021,ATF 3,Amir Temur Fighting Championship 3,"""Bukhara; Uzbekistan"""
09/25/2021,SC,Skull Champions 2,"""Associon Park of Police the Amazonas; Manaus; Brazil"""
09/25/2021,One Pride MMA Fight Night 49,The Warriors Fight,"""Studio ANTV; Jakarta; Indonesia"""
09/25/2021,BFC 3,Blacksmith Fight Championship 3,"""Lazurnyy Bereg; Anapa; Russia"""
09/25/2021,Tru Rev MMA,True Revelation MMA 44,"""Bridge View Center; Ottumwa; Iowa; United States"""
09/25/2021,JCK Night Cage Series,2021 Round of 16 Part 4,"""Haikou; Hainan; China"""
09/25/2021,DF-,Demo FIght 10,"""Feira de Santana; Bahia
Academia Life MMA"""
09/25/2021,WWFC 20,World Warriors Fighting Championship 20,"""Palace of Sport; Sportvyna Square 1; Kiev; Ukraine"""
09/25/2021,RMMA 5,Revolution MMA 5,"""Rio Grande; Rio Grande do Sul; Brazil"""
09/25/2021,The Hero,Pro Fight Night 6: Fighters Dream 1,"""The Hero MMA Academy; Nashik; Maharashtra; India"""
09/25/2021,AMF,Attitude MMA Fights 22,"""Memphis; Tennessee; United States"""
09/25/2021,FFC 1,French Fighting Championship 1,"""Stadium de Miramas; Miramas; France"""
09/25/2021,Gladiator,Gladiator 015 in Osaka,"""176box; Osaka; Japan"""
09/25/2021,MASL,Martial Arts Sports Legend,"""Polideportivo Almoguera; Almoguera; Spain"""
09/25/2021,AFL,Battle At The Venue,"""The Venue at Coosa Landing; Gadsden; Alabama; United States"""
09/25/2021,NSC,North Star Combat 17,"""Northern Lights Casino; Walker; Minnesota; United States"""
09/25/2021,Superior Challenge 23,Back to Roots,"""Fryshuset; Sweden"""
09/25/2021,PMMAC,Premier MMA Championship 17,"""Hits Sports Complex; Covington; Kentucky; United States"""
09/25/2021,GLFC 19,Global Legion FC 19: Civil War,"""Bonaventure Hotel & Spa; Weston; Florida; United States"""
09/25/2021,CFFC,Chosen Few Fighting Championships 19,"""Monona Terrace; Madison; Wisconsin; United States"""
09/25/2021,Maverick MMA 17,Obi vs. Foster,"""Split Rock Resort; Lake Harmony; Pennsylvania; United States"""
09/25/2021,HFC,Hualsur Fighting Championship,"""Cordoba; Argentina"""
09/25/2021,Sul Fluminense Fight Night 5,SFFN 5,"""CT ATS Tubaroes; Tres Rios; Rio de Janeiro; Brazil"""
09/25/2021,FFL,Fight For Life 6,"""Arena Samol; Rio de Janeiro; Rio de Janeiro; Brazil"""
09/25/2021,Oktagon MMA,Oktagon 28,"""O2 Universum; Praha; Czech Republic"""
09/25/2021,CWB Fight League,CWBFL 20,"""Parana; Brazil"""
09/25/2021,The Zone FC,Pro League 1,"""Tradgar'n; Gothenburg; Sweden"""
09/25/2021,SMMA,Shogun MMA 4,"""Spennymoor Leisure Centre; Spennymoor; Durham; England"""
09/25/2021,AFC,Almighty Fighting Championship 20,"""The Lancastrian Suite; Gateshead; England"""
09/25/2021,LFC 19,Lion Fighting Championships 19,"""United Kingdom"""
