fighter1Name,fighter1Url,fighter1Result,fighter2Name,fighter2Url,fighter2Result,fightMethodResult
hiromasa ougikubo,None,W,kai asakura,None,L,decision (unanimous)
roberto de souza,https://www.sherdog.com/fighter/Roberto-de-Souza-148081,win,yusuke yachi,https://www.sherdog.com/fighter/Yusuke-Yachi-44738,None,None
mikuru asakura,https://www.sherdog.com/fighter/Mikuru-Asakura-113195,win,yutaka saito,https://www.sherdog.com/fighter/Yutaka-Saito-87378,None,None
si woo park,https://www.sherdog.com/fighter/Si-Woo-Park-262621,win,rena kubota,https://www.sherdog.com/fighter/Rena-Kubota-209061,None,None
seika izawa,https://www.sherdog.com/fighter/Seika-Izawa-375399,win,ayaka hamasaki,https://www.sherdog.com/fighter/Ayaka-Hamasaki-45332,None,None
koji takeda,https://www.sherdog.com/fighter/Koji-Takeda-243733,win,noah bey,https://www.sherdog.com/fighter/Noah-Bey-386871,None,None
hideki sekine,https://www.sherdog.com/fighter/Hideki-Sekine-53587,win,shoma shibisai,https://www.sherdog.com/fighter/Shoma-Shibisai-93841,None,None
kyohei hagiwara,https://www.sherdog.com/fighter/Kyohei-Hagiwara-245811,win,hiroaki suzuki,https://www.sherdog.com/fighter/Hiroaki-Suzuki-392230,None,None
shinobu ota,https://www.sherdog.com/fighter/Shinobu-Ota-378738,win,kazuma sone,https://www.sherdog.com/fighter/Kazuma-Sone-41120,None,None
yuki motoya,https://www.sherdog.com/fighter/Yuki-Motoya-66241,win,yuto hokamura,https://www.sherdog.com/fighter/Yuto-Hokamura-80347,None,None
hiromasa ougikubo,https://www.sherdog.com/fighter/Hiromasa-Ougikubo-18883,win,naoki inoue,https://www.sherdog.com/fighter/Naoki-Inoue-158487,None,None
kai asakura,https://www.sherdog.com/fighter/Kai-Asakura-226035,win,kenta takizawa,https://www.sherdog.com/fighter/Kenta-Takizawa-131311,None,None
kota miura,https://www.sherdog.com/fighter/Kota-Miura-397029,win,yushi sakura,https://www.sherdog.com/fighter/Yushi-Sakura-397030,None,None
dmitry klimov,https://www.sherdog.com/fighter/Kota-Miura-397029,W,alexey meshkov,https://www.sherdog.com/fighter/Yushi-Sakura-397030,L,technical submission (rear-naked choke)
fazliddin madrahimov,https://www.sherdog.com/fighter/Fazliddin-Madrahimov-272665,win,andrey efimov,https://www.sherdog.com/fighter/Andrey-Efimov-281229,None,None
petr romankevich,https://www.sherdog.com/fighter/Petr-Romankevich-377177,win,astemir odizhev,https://www.sherdog.com/fighter/Astemir-Odizhev-397876,None,None
danila tereschenko,https://www.sherdog.com/fighter/Danila-Tereschenko-397875,win,andi shonazarov,https://www.sherdog.com/fighter/Andi-Shonazarov-373852,None,None
vladimir taranov,https://www.sherdog.com/fighter/Vladimir-Taranov-206873,win,vladimir chudnovets,https://www.sherdog.com/fighter/Vladimir-Chudnovets-137777,None,None
melisa deniz,https://www.sherdog.com/fighter/Vladimir-Taranov-206873,,claire dubois,https://www.sherdog.com/fighter/Vladimir-Chudnovets-137777,,None
paulina suska,https://www.sherdog.com/fighter/Paulina-Suska-49065,None,maria santos,https://www.sherdog.com/fighter/Maria-Santos-397190,None,None
