name,birthDate,age,height,weight,association,fighterClass,win,loss,nationality,locality
jack hermansson,06/10/1988,33,73,185,frontline academy,middleweight,22,6,Sweden,-Uddevalla-
islam makhachev,09/27/1991,30,70,155,eagles mma,lightweight,21,1,Russia,-Makhachkala Dagestan-
nong stamp,10/16/1997,24,61,115,fairtex gym,strawweight,8,1,Thailand,-Pattaya-
a.j. mckee,04/7/1995,26,70,145,team bodyshop,featherweight,18,0,United States,-Long Beach California-
michael chandler,04/24/1986,35,68,155,sanford mma,lightweight,22,7,United States,-High Ridge Missouri-
paddy pimblett,01/3/1995,27,70,155,next generation uk,lightweight,17,3,England,-Liverpool Merseyside-
dustin poirier,01/19/1989,33,69,155,american top team,lightweight,28,7,United States,-Carencro Louisiana-
conor mcgregor,07/14/1988,33,68,155,sbg ireland,lightweight,22,6,Ireland,-Dublin-
julian erosa,07/31/1989,32,73,150,xtreme couture,lightweight,26,9,United States,-Yakima Washington-
steven peterson,05/29/1990,31,69,145,fortis mma,featherweight,19,9,United States,-Plano Texas-
tresean gore,06/21/1994,27,72,185,american top team atlanta,middleweight,3,0,United States,-Myrtle Beach South Carolina-
bryan battle,09/21/1994,27,74,185,hayastan mma charlotte,middleweight,6,1,United States,-Charlotte North Carolina-
danilo marques,12/26/1985,36,78,205,demian maia jiu-jitsu,light heavyweight,11,3,Brazil,-Sao Paulo Sao Paulo-
tyson fury,08/12/1988,33,81,254,None,heavyweight,0,0,England,-Manchester Greater Manchester-
francis ngannou,09/5/1986,35,76,257,xtreme couture,heavyweight,17,3,France,-Paris-
philip rowe,07/18/1990,31,75,170,fusion x-cel,welterweight,8,3,United States,-Queens New York-
jason witt,11/7/1986,35,70,170,glory mma & fitness,welterweight,19,7,United States,-Kansas City Missouri-
carlston harris,07/9/1987,34,72,170,renovacao fight team,welterweight,17,4,Guyana,-Skeldon-
sean strickland,02/27/1991,30,73,185,team quest,middleweight,24,3,United States,-Anaheim California-
khamzat chimaev,05/1/1994,27,74,170,allstars training center,welterweight,10,0,Sweden,-Stockholm-
