name,birthDate,age,height,weight,association,fighterClass,win,loss,nationality,locality,url
jack hermansson,06/10/1988,33,73,185,frontline academy,middleweight,22,6,Sweden,-Uddevalla-,https://www.sherdog.com/fighter/Jack-Hermansson-61146
islam makhachev,09/27/1991,30,70,155,eagles mma,lightweight,21,1,Russia,-Makhachkala Dagestan-,https://www.sherdog.com/fighter/Islam-Makhachev-76836
nong stamp,10/16/1997,24,61,115,fairtex gym,strawweight,8,1,Thailand,-Pattaya-,https://www.sherdog.com/fighter/Nong-Stamp-292745
a.j. mckee,04/7/1995,26,70,145,team bodyshop,featherweight,18,0,United States,-Long Beach California-,https://www.sherdog.com/fighter/AJ-McKee-194637
martin johansson,None,None,None,180,vaxjo titans,middleweight,0,0,Denmark,None,https://www.sherdog.com/fighter/Martin-Johansson-61147
magomed bekbolatov,None,None,None,None,None,None,0,1,Azerbaijan,None,https://www.sherdog.com/fighter/Magomed-Bekbolatov-182205
rashi shinde,04/17/2000,21,59,115,team yogya,strawweight,2,2,India,-Mumbai Maharastra-,https://www.sherdog.com/fighter/Rashi-Shinde-271159
cesar grijalva,None,None,65,135,werdum combat team,bantamweight,0,0,United States,-Los Angeles California-,https://www.sherdog.com/fighter/Cesar-Grijalva-165613
chrystian mayorquin,None,None,68,135,team keep it real,bantamweight,0,0,United States,-Santa Rosa California-,https://www.sherdog.com/fighter/Chrystian-Mayorquin-165633
kyle estrada,08/13/1990,31,68,140,saekson muay thai,featherweight,11,7,United States,-Indianapolis Indiana-,https://www.sherdog.com/fighter/Kyle-Estrada-139131
sebonti paul,06/2/1993,28,None,110,360 degree sports,strawweight,0,1,India,-Kolkata West Bengal-,https://www.sherdog.com/fighter/Sebonti-Paul-271161
monika kiran ghag,None,None,67,125,mumbai mma gym,flyweight,4,1,India,-Mumbai Maharashtra-,https://www.sherdog.com/fighter/Monika-Kiran-Ghag-349163
sakshi gupta,03/31/2000,21,60,125,None,flyweight,0,1,India,None,https://www.sherdog.com/fighter/Sakshi-Gupta-332993
fabian calzada,None,None,65,145,full force fight academy,featherweight,0,0,United States,-San Bernardino California-,https://www.sherdog.com/fighter/Fabian-Calzada-139129
steven plascencia,None,None,67,125,team bodyshop,flyweight,0,0,United States,-Lakewood California-,https://www.sherdog.com/fighter/Steven-Plascencia-147865
ritika ritika,None,None,64,119,None,flyweight,0,1,India,-Jharkhand-,https://www.sherdog.com/fighter/Ritika-Ritika-368091
anwitha alva,None,None,66,125,None,flyweight,0,1,India,-Karnataka-,https://www.sherdog.com/fighter/Anwitha-Alva-376004
priya saini,02/24/2001,20,62,115,delhi mma,strawweight,4,1,India,-Delhi-,https://www.sherdog.com/fighter/Priya-Saini-349161
bryan gonzalez,02/3/1986,36,64,142,vip d-boyz,featherweight,0,0,United States,-Napoleon Ohio-,https://www.sherdog.com/fighter/Bryan-Gonzalez-112509
michael diego,None,None,68,125,mixed breed mma,flyweight,0,0,United States,-Elk Grove California-,https://www.sherdog.com/fighter/Michael-Diego-197131
jesus curioso,None,None,68,145,None,featherweight,0,0,United States,-Long Beach California-,https://www.sherdog.com/fighter/Jesus-Curioso-135027
lisha debnath,None,None,None,115,None,strawweight,0,1,India,None,https://www.sherdog.com/fighter/Lisha-Debnath-349165
cody lewis,07/14/1986,35,67,145,griffonrawl thaiboxing & mma academy,featherweight,0,0,United States,-Jefferson Ohio-,https://www.sherdog.com/fighter/Cody-Lewis-112511
tim isaac,10/14/1984,37,None,145,None,featherweight,0,0,United States,None,https://www.sherdog.com/fighter/Tim-Isaac-129159
sergio castanon,None,None,67,145,kreitzman mma,featherweight,0,0,United States,-Rancho Cucamonga California-,https://www.sherdog.com/fighter/Sergio-Castanon-173847
brandon hartstein,None,None,67,135,subfighter mma,bantamweight,0,0,United States,-Irvine California-,https://www.sherdog.com/fighter/Brandon-Hartstein-165653
terry smith,06/24/1988,33,67,135,ohio valley mma,bantamweight,0,0,United States,-Bellaire Ohio-,https://www.sherdog.com/fighter/Terry-Smith-136583
