fighterName,birthDate,age,height,weight,fighterClass,win,loss,locality,country
qudratullah shenwari,04/02/1999, 22,68,135,Bantamweight,0,1,"""Kabul""",Afghanistan
mansoor noorzai,03/03/2002, 19,69,135,Bantamweight,1,0,"""Kabul""",Afghanistan
rahmudin razmi,05/01/1999, 22,69,135,Bantamweight,0,1,"""Kabul""",Afghanistan
mohammad sharif batoor,02/03/2002, 19,68,135,Bantamweight,1,0,"""Kabul""",Afghanistan
ghulam kunduzi,05/06/2001, 20,68,135,Bantamweight,0,1,"""Kabul""",United States
mansoor hafizi,02/03/2000, 21,69,135,Bantamweight,1,0,"""Kabul""",Afghanistan
ilya tunguzov,None,None,67,145,Featherweight,0,0,"""Yoshkar-Ola""",Russia
ivan yuferev,None,None,67,145,Featherweight,0,0,"""Yoshkar-Ola""",Russia
mason martinez,07/13/2002, 18,67,125,Flyweight,0,0,"""Valdosta; Georgia""",United States
nicholas campbell,12/02/1993, 27,None,125,Flyweight,0,0,"""Tifton; Georgia""",United States
yaya olorunsola,06/05/1992, 28,None,205,Light Heavyweight,0,0,"""Jonesboro; Georgia""",United States
jay mitchell,04/26/1997, 24,None,205,Light Heavyweight,0,0,"""Pensacola; Florida""",United States
anson swindle,01/17/1990, 31,70,145,Featherweight,0,0,"""Valdosta; Georgia""",United States
fidel paulino,02/16/1996, 25,71,145,Featherweight,0,0,"""Jacksonville; Florida""",United States
dylan johnson,None,None,None,155,Lightweight,0,0,"""DeFuniak Springs; Florida""",United States
michael hensley,None,None,None,135,Bantamweight,0,0,"""Florida""",United States
nakia brown,None,None,None,None,None,0,0,"""Louisiana""",United States
juan alvarez,11/22/1998, 22,None,145,Featherweight,0,0,"""Pensacola; Florida""",United States
juston welch,12/29/1988, 32,70,170,Welterweight,0,0,"""Greensboro; North Carolina""",United States
heath herndon,None,None,70,170,Welterweight,0,0,"""Florida""",United States
murod sultonov,None,None,68,155,Lightweight,0,0,"""Yoshkar-Ola""",Russia
reshit ovezov,None,None,73,155,Lightweight,0,0,"""Kazan""",Russia
mustafo merobov,None,None,69,145,Featherweight,0,0,"""Yoshkar-Ola""",Russia
valibek gasanbekov,10/10/2000, 20,None,125,Flyweight,0,0,"""Tatarstan""",Russia
ilyas orazov,None,None,69,135,Bantamweight,0,0,"""Kazan""",Russia
kirill toykishkin,None,None,68,135,Bantamweight,0,0,"""Yoshkar-Ola""",Russia
rustam muborakkadamov,None,None,None,155,Lightweight,0,0,"""Yoshkar-Ola""",Russia
dilshod nazarov,None,None,67,155,Lightweight,0,0,"""Kazan""",Russia
kristina vasilieva,None,None,None,145,Featherweight,0,0,"""Yoshkar-Ola""",Russia
angelina komleva,None,None,66,145,Featherweight,0,0,"""Kazan""",Russia
