fighterName,birthDate,age,height,weight,association,fighterClass,win,loss,locality,country
francis ngannou,09/05/1986,35,76,263,,heavyweight,16,3,"""Paris""",France
antonina shevchenko,11/20/1984,36,68,125,,flyweight,9,4,"""Bishkek""",Kyrgyzstan
casey o'neill,10/07/1997,23,66,125,,flyweight,8,0,"""Queensland""",Australia
justin gaethje,11/14/1988,32,71,155,,lightweight,22,3,"""Safford; Arizona""",United States
jorge masvidal,11/12/1984,36,71,170,,welterweight,35,15,"""Miami; Florida""",United States
tony ferguson,02/12/1984,37,72,155,,lightweight,25,6,"""Oxnard; California""",United States
gaetano pirrello,04/29/1992,29,67,135,,bantamweight,15,7,"""La Louviere; Hainaut""",Belgium
douglas silva de andrade,06/22/1985,36,66,135,,bantamweight,27,4,"""Castanhal; Para""",Brazil
devonte smith,07/30/1993,28,69,155,,lightweight,11,3,"""Bedford; Ohio""",United States
jamie mullarkey,08/17/1994,27,68,155,,lightweight,14,4,"""Central Coast; New South Wales""",Australia
mike breeden,04/21/1989,32,70,155,,lightweight,10,4,"""Lee's Summit; Missouri""",United States
alexander hernandez,10/01/1992,29,69,155,,lightweight,13,4,"""San Antonio; Texas""",United States
thiago santos,01/07/1984,37,74,205,,light heavyweight,22,9,"""Rio de Janeiro; Rio de Janeiro""",Brazil
bibiano fernandes,03/30/1980,41,67,145,,featherweight,None,None,"""Manaus; Amazonas""",Brazil
valentina shevchenko,03/07/1988,33,65,125,,flyweight,22,3,"""Bishkek""",Kyrgyzstan
chael sonnen,04/03/1977,44,73,205,,light heavyweight,31,17,"""West Linn; Oregon""",United States
elvis sinosic,02/13/1971,50,75,199,,light heavyweight,7,11,"""Sydney""",Australia
lauren murphy,07/27/1983,38,67,125,,flyweight,15,5,"""Anchorage; Alaska""",United States
douglas lima,01/05/1988,33,73,170,,welterweight,32,10,"""Goiania; Goias""",Brazil
michael page,04/07/1987,34,75,170,,welterweight,20,1,"""London""",England
patrik white,06/10/1993,28,70,155,,lightweight,9,2,"""Anchorage; Alaska""",United States
genaro valdez,None,None,70,155,,lightweight,10,0,"""Tijuana; Baja California""",Mexico
shonte barnes,02/09/1987,34,72,205,,light heavyweight,6,2,"""Asheville; North Carolina""",United States
joseph holmes,07/04/1995,26,76,185,,middleweight,6,1,"""Arlington; Texas""",United States
bethe correia,06/22/1983,38,64,135,,bantamweight,11,6,"""Campina Grande; Paraiba""",Brazil
karol rosa,12/30/1994,26,67,135,,bantamweight,15,3,"""Vila Velha; Espirito Santo""",Brazil
joshua weems,05/05/1994,27,68,145,,featherweight,9,2,"""Jackson; Mississippi""",United States
fernando garcia,04/12/1992,29,67,135,,bantamweight,10,1,"""Dallas; Texas""",United States
shimon smotritsky,08/22/2000,21,74,170,,welterweight,7,1,"""Holon""",Israel
mike malott,11/07/1991,29,73,170,,welterweight,7,1,"""Halifax; Nova Scotia""",Canada
jon jones,07/19/1987,34,76,205,,light heavyweight,1,None,"""Rochester; New York""",United States
conor mcgregor,07/14/1988,33,68,155,,lightweight,22,6,"""Dublin""",Ireland
ronda rousey,02/01/1987,34,66,135,,bantamweight,12,2,"""Santa Monica; California""",United States
amanda nunes,05/30/1988,33,68,145,,featherweight,21,4,"""Salvador; Bahia""",Brazil
brandon moreno,12/07/1993,27,67,125,,flyweight,19,5,"""Tijuana; Baja California""",Mexico
aljamain sterling,07/31/1989,32,67,135,,bantamweight,None,None,"""Cortland; New York""",United States
alexander volkanovski,09/29/1988,33,66,145,,featherweight,23,1,"""Windang; New South Wales""",Australia
khabib nurmagomedov,09/20/1988,33,70,155,,lightweight,29,0,"""Makhachkala; Dagestan""",Russia
kamaru usman,05/11/1987,34,72,170,,welterweight,19,1,"""Delray Beach; Florida""",United States
israel adesanya,07/22/1989,32,76,185,,middleweight,21,1,"""Lagos""",Nigeria
jan blachowicz,02/24/1983,38,74,205,,light heavyweight,28,8,"""Cieszyn""",Poland
