fighter1Name,fighter1Result,fighter2Name,fighter2Result,fighterMethodResult
zabiullah parwoni,W,safetullah mubariz,L, submission
None,None,None,None,None
mansoor noorzai,W,qudratullah shenwari,L,tko
None,None,None,None,None
mohammad sharif batoor,W,rahmudin razmi,L,submission
None,None,None,None,None
mansoor hafizi,W,ghulam kunduzi,L,tko
neemias araujo santana,W,rafael silva de souza,L, ko (punches)
jordan lawson,W,humberto chavez,L, decision (unanimous)
wazir aqa noori,W,ahmad zubair ebrahimi,L,tko
carlos soares,W,andre gomes pereira,L,tko (punches)
clay crossway,W,corey grooms,L,decision (unanimous)
mojiburahman osmani,W,mostafa yaran,L,decision
deberson batista,,islanio silva,,"
                                "
drew hudson,W,jonathan hensley,L,decision (unanimous)
zubaidullah raziqi,W,hejazullah sidiqi,L,tko
maicon patricio de jesus,W,jeferson lourenco silverio,L,submission (rear-naked choke)
sukhrobali  shaikhov,W,vasily  nikanorov,L, tko
angelina komleva,W,kristina vasilieva,L,ko
dilshod nazarov,W,rustam muborakkadamov,L,decision
kirill toykishkin,W,ilyas orazov,L,submission (choke)
valibek gasanbekov,W,mustafo merobov,L,submission (choke)
reshit ovezov,W,murod sultonov,L,submission (choke)
ivan yuferev,W,ilya tunguzov,L,submission (choke)
jose gallegos,W,joe hamm,L, decision (split)
heath herndon,W,juston welch,L,decision (unanimous)
juan alvarez,W,nakia brown,L,ko
michael hensley,W,dylan johnson,L,ko
fidel paulino,W,anson swindle,L,ko
jay mitchell,W,yaya olorunsola,L,decision (unanimous)
nicholas campbell,W,mason martinez,L,ko
